Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-18 18:00:00,"A.S. VIGO","25.297","18","235","24.631","8","2","519.822","270.080","439","70.115"
2021-06-18 18:00:00,"GALICIA","128.399","92","1.302","124.689","45","16","2.324.974","995.035","2.433","568.169"
2021-06-19 18:00:00,"A.S. A CORUÑA E CEE","30.889","44","434","29.873","15","7","522.775","153.485","597","185.360"
2021-06-19 18:00:00,"A.S. FERROL","8.728","1","101","8.404","6","2","149.930","62.159","217","16.014"
2021-06-19 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.092","7","154","12.717","3","1","255.843","136.850","216","42.140"
2021-06-19 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.909","6","142","15.350","3","1","264.225","132.975","418","74.162"
2021-06-19 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.421","8","118","14.122","7","1","244.967","92.951","181","83.350"
2021-06-19 18:00:00,"A.S. SANTIAGO E BARBANZA","20.132","3","110","19.669","3","1","370.128","146.596","365","98.169"
2021-06-19 18:00:00,"A.S. VIGO","25.303","7","211","24.661","8","2","520.279","270.115","439","70.253"
2021-06-19 18:00:00,"GALICIA","128.474","76","1.270","124.796","45","15","2.328.147","995.131","2.433","569.448"
2021-06-20 18:00:00,"A.S. A CORUÑA E CEE","30.911","23","439","29.889","15","7","523.846","153.488","598","185.585"
2021-06-20 18:00:00,"A.S. FERROL","8.731","3","102","8.406","5","3","150.162","62.159","217","16.049"
2021-06-20 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.101","9","151","12.729","3","1","256.324","136.850","216","42.216"
2021-06-20 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.917","8","142","15.358","2","1","264.434","132.975","418","74.314"
2021-06-20 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.424","3","119","14.124","7","1","245.163","92.952","181","83.551"
2021-06-20 18:00:00,"A.S. SANTIAGO E BARBANZA","20.140","8","100","19.687","2","1","370.564","146.596","365","98.342"
2021-06-20 18:00:00,"A.S. VIGO","25.306","2","197","24.678","9","2","520.582","270.116","439","70.380"
2021-06-20 18:00:00,"GALICIA","128.530","56","1.250","124.871","43","16","2.331.075","995.136","2.434","570.437"
2021-06-21 18:00:00,"A.S. A CORUÑA E CEE","30.943","34","458","29.902","13","7","525.027","153.577","598","185.987"
2021-06-21 18:00:00,"A.S. FERROL","8.731","0","97","8.411","4","2","150.334","62.172","217","16.106"
2021-06-21 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.117","16","161","12.735","4","1","256.680","136.888","216","42.346"
2021-06-21 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.923","6","141","15.365","1","1","264.813","132.995","418","74.591"
2021-06-21 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.437","12","123","14.133","6","1","245.426","93.006","181","83.759"
2021-06-21 18:00:00,"A.S. SANTIAGO E BARBANZA","20.149","6","103","19.693","1","1","370.994","146.643","365","98.685"
